name_muni,geo_code,pop,area,mean.bra_viirs_100m_2016,mean.bra_srtm_slope_100m,mean.bra_osm_dst_road_100m_2016,mean.bra_esaccilc_dst200_100m_2015,mean.bra_esaccilc_dst190_100m_2015,mean.bra_esaccilc_dst150_100m_2015,mean.bra_esaccilc_dst140_100m_2015,mean.bra_esaccilc_dst130_100m_2015,mean.bra_esaccilc_dst040_100m_2015,mean.bra_esaccilc_dst011_100m_2015,code_state,code_muni,abbrev_state
Brasília,5300108,3055149,5779998938.24168,8.51690292358398,3.54705762863159,1.04462540149689,25.5154552459717,5.17682981491089,11.426965713501,6.16611576080322,0.249713182449341,2.55995941162109,0.209694162011147,53,108,DF
Vila Propício,5222302,5882,2181582535.19981,0.0889595374464989,4.19846343994141,5.37916660308838,44.5380935668945,10.7888450622559,35.0222473144531,3.01987075805664,0.350220590829849,2.94770956039429,-0.188164249062538,52,22302,GO
Vila Boa,5222203,6312,1060171348.66841,0.0703298673033714,3.5227518081665,10.6332654953003,44.5308265686035,14.7363538742065,29.9496459960938,3.20966958999634,0.356858372688293,1.59021544456482,-0.159160912036896,52,22203,GO
Vicentinópolis,5222054,8873,737256138.932399,0.138594314455986,1.62075579166412,5.37928199768066,215.835891723633,7.73603963851929,78.9720764160156,17.4421558380127,1.99439346790314,3.0373330116272,-1.61466336250305,52,22054,GO
Vianópolis,5222005,13977,954283661.526163,0.176257342100143,3.57760882377625,3.67460036277771,120.811416625977,13.150616645813,66.7184066772461,2.76441144943237,1.3277553319931,4.97077655792236,-1.00518751144409,52,22005,GO
Varjão,5221908,3838,519194233.020825,0.0968194976449013,5.65952873229981,2.95591020584106,155.946395874023,8.67912006378174,20.4331302642822,2.58461427688599,0.849259793758392,3.43912386894226,-0.611394464969635,52,21908,GO
Valparaíso de Goiás,5221858,172135,61410419.12303,23.2555599212647,3.4625027179718,0.427702307701111,55.9051818847656,0.268874108791351,4.1941933631897,4.1023416519165,0.239751860499382,1.04923737049103,0.36674165725708,52,21858,GO
Urutaí,5221809,3066,626724143.868339,0.101004347205162,4.2534384727478,3.61901330947876,88.3557510375977,9.3675651550293,52.8200263977051,2.40820407867432,0.741271078586578,4.12952280044556,-0.502949476242065,52,21809,GO
Uruana,5221700,13818,522505593.124202,0.18863944709301,3.05954384803772,3.39771866798401,81.7725067138672,5.00328302383423,48.6083717346191,4.48241233825684,2.01918315887451,5.22889518737793,-1.5547262430191,52,21700,GO
Uruaçu,5221601,40840,2141810506.9408,0.200958549976349,4.26169490814209,4.96461820602417,88.3170928955078,12.9457674026489,14.6793460845947,3.28868412971497,0.303077578544617,2.4062819480896,-0.00466795545071363,52,21601,GO
Uirapuru,5221577,2840,1153474601.77907,0.00310853635892272,2.51676201820374,5.60421991348267,177.31901550293,17.779182434082,61.3456077575684,2.24010276794434,0.2165607213974,1.89692568778992,-0.0545350052416325,52,21577,GO
Turvelândia,5221551,5365,933956759.202613,0.145579263567925,1.38524329662323,4.17990398406982,198.861175537109,12.0697746276855,96.1414031982422,5.55057144165039,0.564334630966187,0.907734394073486,-0.269219845533371,52,21551,GO
Turvânia,5221502,4564,480777909.170102,0.0838796496391296,2.81495642662048,4.19074249267578,152.136459350586,7.29400110244751,61.261417388916,2.77161645889282,2.39032888412476,2.6764280796051,-1.473837018013,52,21502,GO
Trombas,5221452,3498,799125515.112064,0.100928857922554,3.44612169265747,6.13737392425537,65.8519973754883,11.1339540481567,57.0510864257813,2.73969864845276,0.198038771748543,1.39082491397858,-0.0223799925297499,52,21452,GO
Trindade,5221403,129823,710713488.288913,2.09156274795532,3.76049089431763,2.71831631660461,110.625625610352,5.4672532081604,23.1033420562744,2.1551775932312,2.32494139671326,2.86414933204651,-0.955014944076538,52,21403,GO
Três Ranchos,5221304,2830,282065763.238735,0.317385226488113,3.80976152420044,4.48524856567383,22.928596496582,6.49730491638184,3.76620602607727,1.70948040485382,0.532173991203308,1.71149158477783,-0.0667874440550804,52,21304,GO
Terezópolis de Goiás,5221197,8186,106912739.474804,1.4018052816391,3.999835729599,1.16611516475678,68.9568939208984,2.98928880691528,16.411506652832,1.81023824214935,1.39180564880371,1.30424010753632,-0.713337481021881,52,21197,GO
Teresina de Goiás,5221080,3498,774638565.596774,0.0251603089272976,7.30779075622559,3.35343503952026,97.9413375854492,27.7091846466064,79.576301574707,8.34756565093994,-0.231473073363304,1.33841264247894,0.638093769550324,52,21080,GO
Taquaral de Goiás,5221007,3521,204218154.96017,0.184000313282013,5.82695865631104,2.42624115943909,74.4615707397461,5.03713655471802,40.2244644165039,2.82092785835266,2.6155219078064,1.97227072715759,-1.26594805717468,52,21007,GO
Sítio d'Abadia,5220702,3001,1598344533.102,0.0432809256017208,3.83550381660461,7.57670402526856,12.8393421173096,17.9170303344727,20.9100494384766,3.92817783355713,0.18056520819664,2.67508792877197,0.112791761755943,52,20702,GO
Simolândia,5220686,6879,347976433.965739,0.192881643772125,2.84892535209656,3.95057368278503,14.630181312561,10.5980415344238,19.9144172668457,1.30753719806671,1.37586760520935,1.60331034660339,-0.37925511598587,52,20686,GO
Silvânia,5220603,20816,2345939609.75353,0.109994173049927,3.57505440711975,4.77275943756104,96.4903869628906,12.0596799850464,42.3757743835449,3.58005857467651,0.835536420345306,4.45521211624146,-0.618137061595917,52,20603,GO
Serranópolis,5220504,8642,5526723237.97082,0.0222937129437923,3.80489420890808,5.86994791030884,18.5278930664063,18.9856624603271,56.3395042419434,4.58172559738159,0.423336863517761,1.0106383562088,-0.138127580285072,52,20504,GO
